OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
2404,2017,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Suv,GRY,,Monday,N,Orléans Chapel Hill South,Ward 19 - Orléans South-Navan,Sector 31,9/15/2020 5:00:00 AM,9/14/2020 5:00:00 AM,2020,"APPLE LEAF WAY, SILVER PINES CRES, BRETTON PL",East,5050125.06,Evening,Catherine Kitts,1400,2200,380555.3449,5033450.1608
2405,2004,"TOYOTA/ TOYOTA MOTOR CO., LTD.",,Van,WHI,,Friday,N,Hunt Club South Industrial,Ward 9 - Knoxdale-Merivale,Sector 17,2/12/2021 5:00:00 AM,2/12/2021 5:00:00 AM,2021,"BENTLEY AVE, GIFFORD ST",West,5050130.01,Afternoon,Sean Devine,1700,1700,366254.8978,5021898.4932
2406,1998,"TOYOTA/ TOYOTA MOTOR CO., LTD.",,Van,GRY,,Sunday,Y,West Centertown,Ward 15 - Kitchissippi,Sector 22,3/9/2020 5:00:00 AM,3/8/2020 5:00:00 AM,2020,"LORETTA AVE, YOUNG ST",Central,5050035.00,Afternoon,Jeff Leiper,1000,1300,366289.8951,5029353.5549
2407,2012,"HONDA/AMERICAN HONDA MOTOR CO.,",CRV,Automobile,BLU,,Monday,N,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 18 - Alta Vista,Sector 34,9/15/2020 5:00:00 AM,9/14/2020 5:00:00 AM,2020,"ALTA VISTA DR, EDGE HILL PL",East,5050005.00,Evening,Marty Carr,1200,1800,370372.9707,5026292.4783
2408,2018,BMW,,Automobile,,62000,Thursday,N,Hunt Club - Ottawa Airport,Ward 10 - Gloucester-Southgate,Sector 35,3/10/2020 5:00:00 AM,2/20/2020 5:00:00 AM,2020,"WISTERIA CRES, WISTERIA CRES",East,5050127.00,Afternoon,Jessica Bradley,1300,1200,369792.1834,5022776.9491
2409,,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Automobile,WHI,,Thursday,N,Orléans North West,Ward 2 - Orléans West-Innes,Sector 31,2/12/2021 5:00:00 AM,2/11/2021 5:00:00 AM,2021,"DEAUVILLE CRES E, TERRANOVA DR E",East,5050124.02,Evening,Laura Dudas,1000,1900,381166.9269,5039093.5957
2410,2014,"TOYOTA/ TOYOTA MOTOR CO., LTD.",COROLLA,Automobile,SIL,,Monday,Y,Crystal Bay - Lakeview Park,Ward 7 - Bay,Sector 14,9/15/2020 5:00:00 AM,9/14/2020 5:00:00 AM,2020,"CRYSTAL BEACH DR, LEEMING DR N",West,5050139.00,Afternoon,Theresa Kavanagh,900,1600,356988.5923,5023679.009
2411,2020,BMW,,Automobile,BLK,,Friday,N,Russell - Edwards,Ward 20 - Osgoode,Sector 37,3/10/2020 5:00:00 AM,10/18/2019 5:00:00 AM,2020,"LEITRIM RD S, RAMSAYVILLE RD",East,5050126.04,Afternoon,George Darouze,1500,1200,378785.9579,5023728.5014
2412,2015,MITSUBISHI,MIRAGE,Automobile,BLU,,Friday,Y,Overbrook - McArthur,Ward 12 - Rideau-Vanier,Sector 25,2/12/2021 5:00:00 AM,2/12/2021 5:00:00 AM,2021,"MONTREAL RD, PALACE ST",Central,5050101.00,Night,Stéphanie Plante,100,100,369955.9027,5032997.5832
2413,2019,VOLKSWAGEN,JETTA,Automobile,WHI,,Wednesday,Y,Iris,Ward 8 - College,Sector 15,9/15/2020 5:00:00 AM,8/12/2020 5:00:00 AM,2020,"MCWATTERS RD,THORSON AVE",West,5050027.00,Morning,Laine Johnson,900,900,360750.8698,5022779.4973
2414,2006,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,RED,,Monday,Y,Vanier North,Ward 12 - Rideau-Vanier,Sector 25,3/10/2020 5:00:00 AM,3/9/2020 5:00:00 AM,2020,"HECTOR-HOTTE WAY,MARQUETTE AVE",Central,5050103.00,Evening,Stéphanie Plante,1000,2300,369841.8998,5033960.5932
2415,2018,"TOYOTA/ TOYOTA MOTOR CO., LTD.",TACOMA,Automobile,RED,45000,Thursday,N,Orléans North West,Ward 2 - Orléans West-Innes,Sector 31,2/12/2021 5:00:00 AM,2/11/2021 5:00:00 AM,2021,"GLEN KNOLLS DR, LONG BOW GT",East,5050124.03,Evening,Laura Dudas,800,2300,379606.9233,5038122.5952
2416,2018,"TOYOTA/ TOYOTA MOTOR CO., LTD.",4-RUNNER,Automobile,BLU,,Wednesday,N,Orléans Village - Chateauneuf,Ward 2 - Orléans West-Innes,Sector 31,9/16/2020 5:00:00 AM,9/16/2020 5:00:00 AM,2020,"BELCOURT BLVD, TOULOUSE CRES",East,5050125.05,Morning,Laura Dudas,900,800,381630.3727,5036478.9864
2417,2019,ACURA,RDX,Automobile,BLK,,Monday,Y,Whitehaven - Queensway Terrace North,Ward 7 - Bay,Sector 14,3/10/2020 5:00:00 AM,3/9/2020 5:00:00 AM,2020,"GOLD CRES W, MONCTON RD W",West,5050028.00,Evening,Theresa Kavanagh,1200,1800,360609.8795,5024045.5561
2418,2016,BMW,,Automobile,BLK,25000,Friday,Y,Carleton Heights - Rideauview,Ward 16 - River,Sector 17,2/12/2021 5:00:00 AM,2/12/2021 5:00:00 AM,2021,"PRINCE OF WALES DR, NESBITT PL",West,5050020.02,Evening,Riley Brockington,200,2000,367389.6388,5025551.7317
2419,2006,,,Atv (4 Wheeler),DGR,,Wednesday,N,Bells Corners East,Ward 8 - College,Sector 15,9/16/2020 5:00:00 AM,9/16/2020 5:00:00 AM,2020,"BEXLEY PL, STAFFORD RD",West,5050136.02,,Laine Johnson,1300,,358053.8532,5021287.4836
2420,2020,CHEVROLET,TAHOE,Suv,BLK,86000,Thursday,N,Cummings,Ward 13 - Rideau-Rockcliffe,Sector 32,3/10/2020 5:00:00 AM,3/5/2020 5:00:00 AM,2020,"CLAUDE ST, DAN AVE",East,5050061.00,,Rawlson King,1300,,372229.8663,5032799.6467
2421,2018,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Automobile,RED,45000,Friday,N,Glen Cairn - Kanata South Business Park,Ward 23 - Kanata South,Sector 13,2/13/2021 5:00:00 AM,2/12/2021 5:00:00 AM,2021,"CASTLE GLEN CRES E, CASTLEFRANK RD",West,5050162.01,Evening,Allan Hubley,800,2000,353172.7901,5016318.3046
2422,2018,NISSAN,SENTRA,Automobile,BLK,,Wednesday,N,Hunt Club Park,Ward 10 - Gloucester-Southgate,Sector 33,9/16/2020 5:00:00 AM,9/16/2020 5:00:00 AM,2020,"BLOHM DR, FORESTGLADE CRES S, PICASSO DR",East,5050001.07,Morning,Jessica Bradley,800,800,375064.0893,5026325.6777
2423,,CADILLAC,,Automobile,BLK,,Tuesday,Y,Hunt Club South Industrial,Ward 9 - Knoxdale-Merivale,Sector 17,3/11/2020 5:00:00 AM,3/10/2020 5:00:00 AM,2020,"545 E OF ROYDON PL, WEST HUNT CLUB RD",West,5050130.01,Evening,Sean Devine,1100,2100,366437.6793,5022458.3681
2424,2011,"HONDA/AMERICAN HONDA MOTOR CO.,",PILOT,Automobile,BLK,,Friday,Y,Playfair Park - Lynda Park - Guildwood Estates,Ward 18 - Alta Vista,Sector 34,2/13/2021 5:00:00 AM,2/12/2021 5:00:00 AM,2021,"ELMSIDE AVE, PLEASANT PARK RD",East,5050007.01,Morning,Marty Carr,700,900,371692.9171,5028612.5438
2425,2018,"TOYOTA/ TOYOTA MOTOR CO., LTD.",4-RUNNER,Suv,WHI,,Wednesday,N,Billings Bridge - Alta Vista,Ward 18 - Alta Vista,Sector 34,9/16/2020 5:00:00 AM,9/16/2020 5:00:00 AM,2020,"BRIAR AVE, RONALD AVE",East,5050006.00,Night,Marty Carr,1200,300,370944.9143,5028761.5459
2426,2017,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Suv,BLK,,Wednesday,N,Rothwell Heights - Beacon Hill North,Ward 11 - Beacon Hill-Cyrville,Sector 32,9/17/2020 5:00:00 AM,9/16/2020 5:00:00 AM,2020,"MASSEY LANE, MASSEY LANE EAST",East,5050120.01,Evening,Tim Tierney,900,2100,373557.9062,5036012.6025
2427,2015,LEXUS,,Suv,WHI,,Wednesday,N,Rothwell Heights - Beacon Hill North,Ward 11 - Beacon Hill-Cyrville,Sector 32,9/17/2020 5:00:00 AM,9/16/2020 5:00:00 AM,2020,"MASSEY LANE, MASSEY LANE EAST",East,5050120.01,Evening,Tim Tierney,800,1900,373557.9062,5036012.6025
2428,,,,Other,RED,1000,Thursday,N,Vanier North,Ward 12 - Rideau-Vanier,Sector 25,9/17/2020 5:00:00 AM,9/17/2020 5:00:00 AM,2020,"BARIBEAU ST, ETHEL ST",Central,5050104.00,Night,Stéphanie Plante,200,200,369957.3654,5033437.2315
2429,2012,FIAT,,Automobile,BLU,4000,Friday,Y,Carleton Heights - Rideauview,Ward 16 - River,Sector 17,9/18/2020 5:00:00 AM,9/18/2020 5:00:00 AM,2020,"CLAYMOR AVE, EIFFEL AVE",West,5050020.01,Morning,Riley Brockington,800,800,366776.9001,5025595.5237
